1;ACURA
2;AM GENERAL
3;AMERICAN IRONHORSE
4;APRILIA
5;ARCTIC CAT
6;ASTON MARTIN
7;ATK
8;AUDI
9;AVANTI
10;BENTLEY
11;BIG DOG
12;BIMOTA
13;BLUE BIRD
14;BMW
15;BOMBARDIER
16;BUELL
17;BUICK
18;CADILLAC
19;CANNONDALE
20;CHANCE COACH TRANSIT BUS
21;CHEVROLET
22;CHRYSLER
23;COBRA
24;DAEWOO
25;DODGE
26;DUCATI
27;E-TON
28;EL DORADO
29;FERRARI
30;FORD
31;FREIGHTLINER
32;GAS GAS
33;GILLIG
34;GMC
35;HARLEY DAVIDSON
36;HINO
37;HM
38;HONDA
39;HUSABERG
40;HUSQVARNA
41;HYUNDAI
42;INDIAN
43;INFINITI
44;INTERNATIONAL
45;ISUZU
46;JAGUAR
47;JEEP
48;KAWASAKI
49;KENWORTH
50;KIA
51;KTM
52;KYMCO
53;LAFORZA
54;LAMBORGHINI
55;LAND ROVER
56;LEXUS
57;LINCOLN
58;LOTUS
59;MACK
60;MAZDA
61;MERCEDES-BENZ
62;MERCURY
63;MITSUBISHI
64;MITSUBISHI FUSO
65;MOTO GUZZI
66;MOTOR COACH INDUSTRIES
67;MV AGUSTA
68;NEW FLYER
69;NISSAN
70;NOVA BUS CORPORATION
71;OLDSMOBILE
72;ORION BUS
73;OSHKOSH MOTOR TRUCK CO.
74;OTTAWA
75;PANOZ
76;PETERBILT
77;PEUGEOT
78;PLYMOUTH
79;POLARIS
80;PONTIAC
81;PORSCHE
82;QVALE
83;RENAULT
84;ROLLS ROYCE
85;SAAB
86;SATURN
87;SEA-DOO
88;SEAT
89;SKI-DOO
90;STERLING
91;STERLING TRUCK
92;SUBARU
93;SUZUKI
94;TM
95;TOYOTA
96;TRIUMPH
97;UD
98;VICTORY
99;VOLKSWAGEN
100;VOLVO
101;WESTERN STAR
102;WORKHORSE
103;YAMAHA
104;ALFA ROMEO
105;AUTOCAR LLC.
106;COUNTRY COACH MOTORHOME
107;HUMMER
108;KASEA
109;LEM
110;MASERATI
111;MINI
112;MORGAN
113;SALEEN
114;WESTERN RV
115;MAYBACH
116;ROVER
117;VENTO
118;FIAT
119;JOHN DEERE
120;KUBOTA
121;SCION
122;SMART
123;VESPA
124;HYOSUNG
125;PIAGGIO
126;ARGO
127;BUGATTI
128;PIERCE MFG. INC.
129;AMERICAN LAFRANCE
130;CAN-AM
131;CRANE CARRIER
132;CUB CADET
133;BETA
134;BOBCAT
135;TESLA
136;RAM
137;VPG
138;CODA
139;FISKER
140;MCLAREN
141;SRT
142;BERTONE
143;IC CORPORATION
144;NASH
145;TRIWIN
146;APSONIC
147;TVS
148;RATO
149;KAIZER
150;SAKAHAN
151;JINCHENG
152;AUTRES MARQUES
153;TATA
154;OPEL
155;DAF
156;PACTON
157;FRUEHAUF
158;JOST
159;JUPITER
160;SANILI
161;HAOJIN
162;HAOJUE
163;ROYAL
164;FORTUNE
165;LIFAN
166;BAJAJ
167;TRAILOR
168;SIFMA
169;FRTN
170;MCN
171;SINOTRUK
172;BONHEUR
173;APPOLO
174;ZHAORUN
175;EROX
176;FABRIQUE LOCAL
177;MASSEG
178;FERGUS
179;IVECO
180;MAN
181;LUOJTA
182;SANYA
183;TYPHON
184;SINOMACH
185;MEGAMONDE
186;SAFARI
187;DACTON
188;CODER
189;RAIDER
190;MK
191;SHIFENG
192;CITROEN
193;BARTOLET
194;SYM
195;ACCESS
196;BRAVO S
197;CHEREAU
198;SCHWARZMULLER
199;GENERAL TRAILLERS
200;FLIEGL
201;METACO
202;SDC
203;LAG
204;RENDERS
205;SCANIA
206;HEROS
207;BENALU
208;BENALU
209;DELWED
210;ZAHORUN
211;SCHMITZ
212;SISU
213;ACERBI
214;EICHER
215;WIELTON
216;KIC
217;SAMRO
218;MONTENEGRO
219;KAISER
220;SSANGYONG
